"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2006","197.10","198.00","198.00","196.90","103.22K","0.20%"
"Oct 26, 2006","196.70","196.10","198.80","196.10","139.88K","-0.91%"
"Oct 23, 2006","198.50","198.90","198.90","195.00","46.19K","1.79%"
"Oct 20, 2006","195.00","199.00","199.00","195.00","20.66K","0.00%"
"Oct 19, 2006","195.00","195.00","195.00","195.00","56.26K","0.05%"
"Oct 18, 2006","194.90","194.90","195.00","194.90","7.60K","-0.05%"
"Oct 17, 2006","195.00","189.10","195.00","189.00","32.33K","3.17%"
"Oct 16, 2006","189.00","190.00","190.00","187.00","62.20K","-3.03%"
"Oct 13, 2006","194.90","195.00","195.10","194.90","13.70K","-0.71%"
"Oct 12, 2006","196.30","197.60","199.00","196.20","10.98K","-0.66%"
"Oct 11, 2006","197.60","200.00","200.00","197.50","5.26K","-0.20%"
"Oct 10, 2006","198.00","197.00","201.50","197.00","46.74K","-1.00%"
"Oct 09, 2006","200.00","200.00","200.00","200.00","1.29K","1.01%"
"Oct 06, 2006","198.00","198.10","202.50","198.00","4.68K","0.00%"
"Oct 05, 2006","198.00","202.80","202.80","198.00","33.82K","-2.22%"
"Oct 04, 2006","202.50","203.00","203.00","202.50","19.77K","-0.15%"
"Oct 03, 2006","202.80","203.00","203.00","202.80","0.90K","0.15%"
"Oct 02, 2006","202.50","198.00","202.50","198.00","18.96K","1.25%"
"Sep 29, 2006","200.00","198.10","202.00","198.10","55.35K","0.00%"
"Sep 28, 2006","200.00","200.00","200.00","198.30","4.74K","0.91%"
"Sep 27, 2006","198.20","201.90","201.90","198.20","10.64K","-0.90%"
"Sep 26, 2006","200.00","202.60","203.50","200.00","145.25K","-1.28%"
"Sep 25, 2006","202.60","202.60","204.50","202.60","10.01K","0.30%"
"Sep 22, 2006","202.00","202.00","203.80","202.00","155.18K","0.25%"
"Sep 21, 2006","201.50","200.20","201.50","200.20","172.62K","0.70%"
"Sep 20, 2006","200.10","200.00","200.50","200.00","60.05K","-1.82%"
"Sep 19, 2006","203.80","201.00","203.80","200.70","9.29K","1.39%"
"Sep 18, 2006","201.00","200.60","208.50","200.60","83.95K","0.00%"
"Sep 15, 2006","201.00","207.90","207.90","200.20","49.83K","-3.32%"
"Sep 14, 2006","207.90","209.00","209.00","207.90","12.08K","-1.00%"
"Sep 13, 2006","210.00","207.10","210.00","207.10","100.50K","1.45%"
"Sep 12, 2006","207.00","207.00","210.00","207.00","36.04K","-0.24%"
"Sep 11, 2006","207.50","207.00","210.00","207.00","2.61K","-0.72%"
