"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2011","859.00","859.00","859.00","811.00","0.05K","0.47%"
"Apr 29, 2011","855.00","810.00","859.00","810.00","0.90K","-0.58%"
"Apr 28, 2011","860.00","824.00","860.00","820.00","0.12K","-0.23%"
"Apr 22, 2011","862.00","850.00","862.00","820.00","5.71K","1.41%"
"Apr 20, 2011","850.00","850.00","850.00","850.00","0.01K","-1.73%"
"Apr 18, 2011","865.00","867.00","867.00","850.00","0.03K","-0.46%"
"Apr 13, 2011","869.00","835.00","869.00","835.00","0.22K","0.00%"
"Apr 12, 2011","869.00","831.00","869.00","831.00","0.01K","-1.14%"
"Apr 07, 2011","879.00","835.00","879.00","835.00","0.16K","-1.01%"
"Mar 25, 2011","888.00","888.00","888.00","888.00","0.01K","0.00%"
"Mar 22, 2011","888.00","836.00","888.00","836.00","0.01K","-0.11%"
"Mar 18, 2011","889.00","851.00","889.00","850.00","0.21K","4.59%"
"Mar 15, 2011","850.00","850.00","850.00","846.00","1.77K","0.00%"
"Mar 14, 2011","850.00","861.00","861.00","845.00","1.17K","-3.41%"
"Mar 11, 2011","880.00","890.00","890.00","880.00","5.03K","-2.65%"
"Mar 10, 2011","904.00","904.00","904.00","904.00","1.15K","0.00%"
"Mar 09, 2011","904.00","904.00","904.00","904.00","0.01K","-0.22%"
"Mar 07, 2011","906.00","905.00","906.00","905.00","6.04K","-2.05%"
"Mar 04, 2011","925.00","906.00","925.00","906.00","0.01K","2.10%"
"Mar 03, 2011","906.00","906.00","906.00","906.00","1.04K","0.00%"
"Mar 02, 2011","906.00","906.00","906.00","906.00","2.50K","0.00%"
"Mar 01, 2011","906.00","905.00","906.00","905.00","1.71K","0.11%"
"Feb 28, 2011","905.00","905.00","905.00","905.00","0.06K","-2.16%"
"Feb 24, 2011","925.00","905.00","925.00","865.00","0.60K","1.65%"
"Feb 23, 2011","910.00","877.00","910.00","877.00","0.06K","-2.05%"
"Feb 21, 2011","929.00","905.00","929.00","905.00","0.16K","0.98%"
"Feb 15, 2011","920.00","920.00","920.00","920.00","5.00K","1.10%"
"Feb 14, 2011","910.00","905.00","910.00","905.00","0.02K","-0.76%"
"Feb 10, 2011","917.00","917.00","917.00","917.00","2.40K","0.00%"
"Feb 09, 2011","917.00","907.00","917.00","907.00","0.02K","0.00%"
"Feb 08, 2011","917.00","920.00","930.00","905.00","2.08K","1.89%"
"Feb 04, 2011","900.00","930.00","930.00","900.00","5.35K","-2.70%"
"Feb 02, 2011","925.00","890.00","925.00","890.00","0.03K","2.78%"
"Jan 28, 2011","900.00","900.00","900.00","900.00","0.11K","-1.10%"
"Jan 25, 2011","910.00","910.00","910.00","910.00","0.13K","1.11%"
"Jan 24, 2011","900.00","900.00","900.00","900.00","0.18K","0.00%"
"Jan 21, 2011","900.00","900.00","900.00","900.00","0.70K","-1.10%"
"Jan 13, 2011","910.00","910.00","910.00","910.00","0.50K","0.00%"
"Jan 06, 2011","910.00","930.00","930.00","910.00","2.01K","1.11%"
"Jan 05, 2011","900.00","909.00","910.00","900.00","16.01K","1.12%"
"Jan 04, 2011","890.00","890.00","890.00","890.00","0.13K","-1.66%"
"Dec 31, 2010","905.00","852.00","905.00","851.00","0.19K","0.33%"
"Dec 30, 2010","902.00","902.00","902.00","902.00","0.00K","5.99%"
"Dec 29, 2010","851.00","880.00","880.00","851.00","0.05K","-3.30%"
"Dec 28, 2010","880.00","880.00","880.00","880.00","0.01K","0.00%"
"Dec 27, 2010","880.00","880.00","880.00","880.00","0.03K","0.80%"
"Dec 23, 2010","873.00","872.00","873.00","872.00","0.74K","-1.91%"
"Dec 21, 2010","890.00","890.00","890.00","890.00","0.02K","0.00%"
"Dec 16, 2010","890.00","890.00","890.00","890.00","0.01K","-0.78%"
"Dec 10, 2010","897.00","900.00","900.00","896.00","1.21K","-0.44%"
"Dec 09, 2010","901.00","901.00","901.00","901.00","0.05K","-1.96%"
"Dec 08, 2010","919.00","919.00","919.00","918.00","0.43K","-2.23%"
"Dec 03, 2010","940.00","940.00","940.00","940.00","0.18K","2.17%"
"Dec 02, 2010","920.00","914.00","920.00","914.00","0.12K","4.55%"
"Dec 01, 2010","880.00","880.00","880.00","880.00","0.03K","1.03%"
"Nov 30, 2010","871.00","871.00","871.00","871.00","0.02K","-4.81%"
"Nov 25, 2010","915.00","872.00","915.00","872.00","0.01K","-0.22%"
"Nov 23, 2010","917.00","917.00","917.00","917.00","0.00K","5.16%"
"Nov 22, 2010","872.00","872.00","872.00","872.00","0.00K","-4.80%"
"Nov 16, 2010","916.00","916.00","916.00","916.00","0.02K","-0.33%"
"Nov 12, 2010","919.00","919.00","919.00","919.00","0.05K","1.55%"
"Nov 10, 2010","905.00","873.00","905.00","873.00","0.04K","4.02%"
"Nov 09, 2010","870.00","900.00","900.00","870.00","6.65K","-4.40%"
"Nov 08, 2010","910.00","890.00","910.00","890.00","0.47K","1.11%"
"Nov 05, 2010","900.00","900.00","900.00","900.00","0.13K","0.00%"
"Nov 03, 2010","900.00","900.00","900.00","900.00","0.02K","0.00%"
"Nov 02, 2010","900.00","900.00","900.00","900.00","0.05K","-0.11%"
"Oct 29, 2010","901.00","900.00","901.00","900.00","1.30K","0.11%"
"Oct 28, 2010","900.00","900.00","900.00","900.00","0.41K","0.00%"
"Oct 27, 2010","900.00","900.00","900.00","900.00","0.18K","0.00%"
"Oct 26, 2010","900.00","900.00","900.00","900.00","0.00K","0.00%"
"Oct 25, 2010","900.00","899.00","900.00","850.00","0.14K","0.00%"
"Oct 22, 2010","900.00","870.00","900.00","870.00","0.22K","0.00%"
"Oct 21, 2010","900.00","880.00","900.00","880.00","5.23K","2.27%"
"Oct 20, 2010","880.00","857.00","880.00","857.00","10.03K","2.92%"
"Oct 19, 2010","855.00","855.00","855.00","855.00","0.01K","-3.06%"
"Oct 18, 2010","882.00","882.00","882.00","882.00","0.01K","1.38%"
"Oct 15, 2010","870.00","865.00","870.00","855.00","45.05K","5.20%"
"Oct 14, 2010","827.00","827.00","827.00","827.00","0.06K","-5.05%"
"Oct 13, 2010","871.00","871.00","871.00","871.00","0.30K","12.24%"
"Oct 08, 2010","776.00","776.00","776.00","776.00","0.00K","-4.20%"
"Sep 29, 2010","810.00","810.00","810.00","810.00","0.11K","0.00%"
"Sep 28, 2010","810.00","810.00","810.00","810.00","2.08K","3.18%"
"Sep 27, 2010","785.00","785.00","785.00","785.00","0.15K","-3.09%"
"Sep 21, 2010","810.00","810.00","810.00","810.00","0.23K","0.00%"
"Sep 15, 2010","810.00","810.00","810.00","810.00","0.24K","0.00%"
"Sep 14, 2010","810.00","810.00","810.00","810.00","0.60K","0.00%"
"Sep 13, 2010","810.00","813.00","813.00","810.00","0.03K","-0.37%"
"Sep 08, 2010","813.00","813.00","813.00","813.00","2.30K","0.00%"
"Sep 02, 2010","813.00","813.00","813.00","813.00","0.13K","0.49%"
"Sep 01, 2010","809.00","809.00","809.00","809.00","0.00K","-5.93%"
"Aug 31, 2010","860.00","860.00","860.00","860.00","0.02K","0.82%"
"Aug 30, 2010","853.00","853.00","853.00","853.00","0.00K","5.96%"
"Aug 27, 2010","805.00","805.00","805.00","805.00","0.40K","0.63%"
"Aug 24, 2010","800.00","800.00","800.00","800.00","0.01K","-1.23%"
"Aug 18, 2010","810.00","810.00","810.00","810.00","1.26K","0.87%"
"Aug 12, 2010","803.00","804.00","804.00","803.00","1.35K","-0.25%"
"Aug 05, 2010","805.00","805.00","805.00","805.00","0.10K","-5.63%"
"Jul 26, 2010","853.00","864.00","864.00","853.00","1.32K","-1.16%"
"Jul 22, 2010","863.00","863.00","863.00","863.00","0.65K","3.48%"
"Jul 14, 2010","834.00","834.00","834.00","834.00","0.52K","-4.03%"
"Jul 12, 2010","869.00","860.00","869.00","835.00","0.16K","4.32%"
"Jul 07, 2010","833.00","833.00","833.00","833.00","0.02K","0.00%"
"Jul 01, 2010","833.00","833.00","833.00","833.00","0.02K","3.35%"
"Jun 30, 2010","806.00","806.00","806.00","806.00","0.04K","-3.47%"
"Jun 22, 2010","835.00","835.00","835.00","835.00","0.06K","0.00%"
"Jun 18, 2010","835.00","835.00","835.00","835.00","0.05K","0.00%"
"Jun 17, 2010","835.00","840.00","840.00","835.00","0.02K","0.00%"
"Jun 16, 2010","835.00","835.00","835.00","835.00","0.28K","-4.02%"
"Jun 15, 2010","870.00","870.00","870.00","870.00","0.01K","-1.47%"
"Jun 11, 2010","883.00","880.00","883.00","880.00","0.09K","2.56%"
"Jun 10, 2010","861.00","875.00","879.00","861.00","0.22K","0.47%"
"Jun 09, 2010","857.00","870.00","870.00","857.00","0.02K","-2.39%"
"Jun 08, 2010","878.00","878.00","878.00","878.00","0.00K","2.93%"
"Jun 04, 2010","853.00","853.00","857.00","853.00","0.26K","-3.40%"
"Jun 03, 2010","883.00","883.00","883.00","883.00","0.00K","0.34%"
"Jun 01, 2010","880.00","885.00","885.00","880.00","0.08K","0.11%"
"May 28, 2010","879.00","879.00","880.00","879.00","5.03K","0.00%"
"May 27, 2010","879.00","879.00","879.00","879.00","0.00K","-0.11%"
"May 26, 2010","880.00","880.00","880.00","880.00","0.01K","0.00%"
"May 25, 2010","880.00","879.00","880.00","879.00","3.57K","0.00%"
"May 24, 2010","880.00","880.00","880.00","880.00","9.34K","2.56%"
"May 21, 2010","858.00","858.00","858.00","858.00","0.01K","0.35%"
"May 20, 2010","855.00","862.00","862.00","855.00","0.02K","-2.84%"
"May 19, 2010","880.00","850.00","880.00","850.00","5.07K","2.80%"
"May 18, 2010","856.00","856.00","856.00","856.00","0.01K","0.12%"
"May 14, 2010","855.00","855.00","855.00","855.00","1.05K","-0.47%"
"May 13, 2010","859.00","859.00","859.00","859.00","0.03K","0.00%"
"May 12, 2010","859.00","843.00","859.00","843.00","12.45K","0.00%"
"May 10, 2010","859.00","844.00","859.00","844.00","1.12K","1.90%"
"May 07, 2010","843.00","840.00","843.00","840.00","0.71K","0.00%"
"May 06, 2010","843.00","843.00","843.00","843.00","0.32K","-0.12%"
"May 05, 2010","844.00","844.00","844.00","844.00","0.10K","-0.12%"
"May 04, 2010","845.00","843.00","845.00","843.00","1.42K","0.24%"
"Apr 30, 2010","843.00","840.00","843.00","840.00","5.81K","0.36%"
"Apr 29, 2010","840.00","840.00","840.00","840.00","0.20K","-0.36%"
"Apr 28, 2010","843.00","830.00","848.00","830.00","7.29K","0.00%"
"Apr 23, 2010","843.00","830.00","843.00","830.00","4.02K","-0.12%"
"Apr 22, 2010","844.00","844.00","844.00","844.00","0.01K","2.30%"
"Apr 21, 2010","825.00","825.00","825.00","825.00","0.25K","1.35%"
"Apr 20, 2010","814.00","798.00","814.00","798.00","0.72K","5.99%"
"Apr 19, 2010","768.00","768.00","768.00","768.00","0.03K","-4.00%"
"Apr 16, 2010","800.00","800.00","800.00","800.00","0.00K","-0.37%"
"Apr 06, 2010","803.00","803.00","803.00","803.00","0.07K","5.66%"
"Apr 02, 2010","760.00","760.00","760.00","760.00","1.00K","0.00%"
"Apr 01, 2010","760.00","760.00","760.00","757.00","0.02K","-3.18%"
"Mar 30, 2010","785.00","759.00","785.00","759.00","0.11K","3.97%"
"Mar 25, 2010","755.00","755.00","755.00","755.00","0.01K","0.40%"
"Mar 17, 2010","752.00","752.00","752.00","752.00","0.01K","-6.00%"
"Mar 12, 2010","800.00","800.00","800.00","800.00","0.04K","-0.62%"
"Mar 11, 2010","805.00","805.00","805.00","805.00","0.00K","1.13%"
"Mar 09, 2010","796.00","796.00","796.00","796.00","4.55K","0.00%"
"Mar 08, 2010","796.00","796.00","796.00","796.00","6.15K","0.00%"
"Mar 04, 2010","796.00","750.00","796.00","750.00","18.10K","5.99%"
"Mar 03, 2010","751.00","751.00","751.00","751.00","0.06K","-3.72%"
"Mar 02, 2010","780.00","780.00","780.00","780.00","0.01K","-0.13%"
"Mar 01, 2010","781.00","781.00","781.00","781.00","0.01K","-4.76%"
"Feb 26, 2010","820.00","781.00","820.00","781.00","0.10K","0.24%"
"Feb 25, 2010","818.00","818.00","818.00","818.00","0.00K","-1.56%"
"Feb 24, 2010","831.00","831.00","831.00","831.00","0.13K","1.59%"
"Feb 23, 2010","818.00","818.00","818.00","818.00","0.01K","-5.98%"
"Feb 22, 2010","870.00","830.00","870.00","830.00","0.03K","4.82%"
"Feb 19, 2010","830.00","800.00","830.00","800.00","2.61K","5.20%"
"Feb 18, 2010","789.00","780.00","789.00","780.00","4.50K","5.91%"
"Feb 17, 2010","745.00","740.00","745.00","740.00","0.04K","-4.97%"
"Feb 16, 2010","784.00","741.00","784.00","741.00","4.69K","5.95%"
"Feb 15, 2010","740.00","739.00","740.00","739.00","0.20K","0.00%"
"Feb 12, 2010","740.00","740.00","740.00","740.00","0.55K","2.78%"
"Feb 08, 2010","720.00","720.00","720.00","720.00","0.10K","1.12%"
"Feb 05, 2010","712.00","712.00","712.00","712.00","0.01K","-4.04%"
"Jan 28, 2010","742.00","717.00","742.00","717.00","0.30K","5.55%"
