"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 16, 2011","241.00","238.00","241.00","238.00","14.35K","0.42%"
"Mar 15, 2011","240.00","240.00","241.90","240.00","1.00M","0.00%"
"Mar 14, 2011","240.00","240.00","240.00","240.00","0.75K","0.00%"
"Mar 11, 2011","240.00","240.05","240.05","240.00","0.05K","0.00%"
"Mar 10, 2011","240.00","240.00","242.00","240.00","2.27K","0.00%"
"Mar 09, 2011","240.00","240.00","240.05","240.00","6.11K","-0.83%"
"Mar 08, 2011","242.00","240.00","242.00","240.00","10.95K","0.83%"
"Mar 07, 2011","240.00","245.00","245.00","240.00","10.95K","-0.41%"
"Mar 04, 2011","241.00","240.00","241.00","237.00","5.70K","0.42%"
"Mar 03, 2011","240.00","241.00","241.00","240.00","0.83K","-0.41%"
"Mar 02, 2011","241.00","245.00","245.00","241.00","0.65K","-0.41%"
"Mar 01, 2011","242.00","239.70","247.00","239.70","78.13K","0.83%"
"Feb 28, 2011","240.00","240.00","241.00","240.00","7.00K","0.00%"
"Feb 25, 2011","240.00","240.00","241.00","240.00","7.66K","0.42%"
"Feb 24, 2011","239.00","235.90","241.90","235.90","19.62K","1.75%"
"Feb 23, 2011","234.90","240.00","240.00","234.90","18.80K","-0.04%"
"Feb 22, 2011","235.00","230.00","240.00","227.00","23.19K","-0.84%"
"Feb 21, 2011","237.00","241.00","241.00","230.00","12.84K","-2.07%"
"Feb 18, 2011","242.00","242.00","242.00","242.00","6.93K","0.21%"
"Feb 15, 2011","241.50","241.30","247.00","241.30","10.82K","0.15%"
"Feb 14, 2011","241.15","240.05","245.00","240.05","2.04K","-1.57%"
"Feb 11, 2011","245.00","242.20","245.00","242.20","0.11K","1.24%"
"Feb 10, 2011","242.00","244.00","244.00","240.00","4.25K","-1.35%"
"Feb 09, 2011","245.30","245.10","245.50","245.10","1.94K","-2.47%"
"Feb 08, 2011","251.50","243.00","251.50","243.00","5.72K","3.71%"
"Feb 07, 2011","242.50","239.00","243.00","239.00","2.58K","1.46%"
"Feb 04, 2011","239.00","232.00","239.00","232.00","39.47K","5.29%"
"Feb 03, 2011","227.00","246.00","246.00","225.65","7.56K","-5.44%"
"Feb 02, 2011","240.05","240.00","240.20","240.00","16.55K","1.29%"
"Feb 01, 2011","237.00","247.80","247.80","237.00","25.62K","-1.25%"
"Jan 31, 2011","240.00","240.00","249.90","237.50","25.56K","-2.04%"
"Jan 28, 2011","245.00","250.00","254.95","242.00","1.01M","-4.26%"
"Jan 27, 2011","255.90","253.10","255.90","253.00","4.16K","0.87%"
"Jan 26, 2011","253.70","255.00","255.00","253.00","5.11K","-0.02%"
"Jan 25, 2011","253.75","254.00","255.85","253.70","2.64K","-1.57%"
"Jan 24, 2011","257.80","253.10","258.95","253.10","2.90K","-0.46%"
"Jan 21, 2011","259.00","255.15","259.00","253.05","7.62K","-0.38%"
"Jan 20, 2011","260.00","255.00","260.00","253.20","17.19K","1.36%"
"Jan 19, 2011","256.50","255.10","256.50","255.10","5.07K","-0.16%"
"Jan 18, 2011","256.90","259.90","259.90","255.00","6.08K","-0.35%"
"Jan 17, 2011","257.80","264.90","264.90","252.20","1.18K","-2.31%"
"Jan 14, 2011","263.90","263.00","263.90","260.50","14.16K","0.34%"
"Jan 13, 2011","263.00","263.00","265.00","263.00","14.77K","-0.19%"
