"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 28, 2006","51.35","49.90","51.45","49.90","9.38K","1.68%"
"Aug 25, 2006","50.50","49.00","50.50","49.00","58.88K","3.06%"
"Aug 24, 2006","49.00","48.55","49.10","48.55","31.88K","0.72%"
"Aug 23, 2006","48.65","48.35","48.65","48.35","22.44K","0.31%"
"Aug 22, 2006","48.50","48.50","49.00","48.50","29.38K","0.00%"
"Aug 18, 2006","48.50","48.50","48.50","48.50","20.08K","-0.51%"
"Aug 17, 2006","48.75","48.40","48.75","48.40","18.62K","0.52%"
"Aug 16, 2006","48.50","48.40","48.50","48.40","8.46K","0.21%"
"Aug 15, 2006","48.40","48.30","48.40","48.25","15.76K","0.21%"
"Aug 11, 2006","48.30","49.15","49.15","48.30","13.50K","0.10%"
"Aug 10, 2006","48.25","48.95","48.95","48.25","15.82K","-1.03%"
"Aug 09, 2006","48.75","48.50","49.00","48.50","15.56K","-0.51%"
"Aug 08, 2006","49.00","48.00","49.00","48.00","28.00K","1.03%"
"Aug 07, 2006","48.50","47.55","48.50","47.55","11.26K","-0.51%"
"Aug 04, 2006","48.75","47.80","48.75","47.80","0.28K","0.52%"
"Aug 03, 2006","48.50","47.80","48.85","47.80","10.46K","-0.51%"
"Aug 02, 2006","48.75","47.60","48.85","47.60","17.12K","-0.31%"
"Aug 01, 2006","48.90","47.95","48.90","47.95","2.44K","0.00%"
"Jul 31, 2006","48.90","48.05","48.90","48.05","4.96K","0.31%"
"Jul 28, 2006","48.75","48.00","48.75","48.00","58.60K","0.52%"
"Jul 27, 2006","48.50","47.75","48.50","47.75","16.66K","-0.51%"
"Jul 26, 2006","48.75","48.50","48.75","48.50","10.22K","-0.51%"
"Jul 25, 2006","49.00","49.00","49.00","49.00","32.54K","0.00%"
"Jul 24, 2006","49.00","49.00","49.00","49.00","12.62K","0.00%"
"Jul 21, 2006","49.00","48.80","49.20","48.80","23.40K","0.00%"
"Jul 20, 2006","49.00","48.75","49.20","48.75","54.46K","-0.41%"
"Jul 19, 2006","49.20","48.75","49.20","48.50","26.08K","-0.10%"
"Jul 18, 2006","49.25","49.25","49.25","49.25","0.80K","1.03%"
"Jul 17, 2006","48.75","49.50","49.50","48.75","19.24K","-1.02%"
"Jul 14, 2006","49.25","49.25","49.25","49.25","10.64K","0.00%"
"Jul 13, 2006","49.25","49.45","49.45","48.50","16.24K","-0.40%"
"Jul 12, 2006","49.45","46.80","49.45","46.80","1.90K","1.85%"
"Jul 11, 2006","48.55","49.20","49.20","48.50","19.26K","-0.92%"
"Jul 10, 2006","49.00","49.50","49.50","48.55","7.34K","-1.01%"
"Jul 07, 2006","49.50","49.70","49.70","49.50","71.10K","-0.40%"
"Jul 06, 2006","49.70","49.05","49.95","49.05","10.62K","0.30%"
"Jul 05, 2006","49.55","49.60","50.45","49.55","110.78K","-0.90%"
"Jul 04, 2006","50.00","48.80","50.00","48.80","81.62K","3.41%"
"Jul 03, 2006","48.35","46.75","48.50","46.75","46.74K","-3.88%"
"Jun 30, 2006","50.30","49.75","51.00","49.75","29.54K","0.60%"
"Jun 29, 2006","50.00","49.55","50.55","49.55","54.76K","0.00%"
"Jun 28, 2006","50.00","49.10","50.00","49.10","21.12K","1.52%"
"Jun 27, 2006","49.25","49.25","49.25","49.25","8.20K","0.00%"
"Jun 26, 2006","49.25","49.95","50.00","49.25","21.94K","-1.40%"
"Jun 23, 2006","49.95","49.10","49.95","49.10","2.48K","1.52%"
"Jun 22, 2006","49.20","49.15","49.20","49.15","1.46K","0.20%"
"Jun 21, 2006","49.10","49.10","49.10","49.10","6.82K","1.03%"
"Jun 20, 2006","48.60","49.00","49.05","48.60","20.12K","-1.82%"
"Jun 19, 2006","49.50","49.05","49.95","49.05","11.32K","-1.00%"
"Jun 16, 2006","50.00","49.00","50.00","49.00","18.06K","0.20%"
"Jun 15, 2006","49.90","47.50","49.90","47.50","41.96K","1.94%"
"Jun 14, 2006","48.95","46.50","48.95","46.50","17.26K","4.26%"
"Jun 13, 2006","46.95","46.60","46.95","46.00","14.72K","-1.05%"
"Jun 12, 2006","47.45","48.00","48.55","46.50","22.82K","-1.15%"
"Jun 09, 2006","48.00","49.10","49.10","48.00","22.12K","-4.00%"
